,Same,Different,Same_RT,Different_RT,age,gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,WorkLocation
80,18,11,1375.345455,1191.65,22,male,4,4,4,5,2,2,4,4,66,Unemployed
81,15,12,2190.666667,2005.4,38,male,6,5,6,6,2,2,6,2,88,Office
82,8,15,3291.386667,1167.225,22,male,6,6,4,4,2,4,5,3,77,Office
83,15,16,1703.90625,2241.32,19,female,4,4,5,4,5,5,5,5,50,Home
84,18,13,2095.884615,1751.45,21,female,4,5,6,6,2,1,5,4,89,Home
85,10,14,4278.928571,3662,21,female,5,5,4,4,4,3,2,2,77,Home
86,13,18,1717.705556,2190.2,18,female,6,6,4,2,1,2,5,5,67,Unemployed
87,19,13,2645.553846,3034.447368,22,female,6,6,6,6,5,5,5,5,44,Unemployed
88,8,20,5313.405,6940.3375,26,male,2,2,6,6,3,4,5,1,74,Unemployed
89,16,17,3450.717647,3927.13125,27,male,6,5,6,5,1,2,4,2,67,Home
90,13,18,4908.666667,5026.230769,49,male,3,5,5,4,4,5,4,4,84,Office
91,11,17,2968.382353,2935.618182,27,male,6,6,6,6,2,0,6,3,100,Home
92,19,18,4431.511111,5568.394737,21,male,5,6,6,5,2,2,6,6,77,Unemployed
93,16,7,4438.771429,3998.54375,27,male,6,5,6,6,1,0,6,6,95,Office
94,18,15,6894.74,3888.711111,41,male,4,2,5,5,0,2,4,1,55,Home
95,19,11,3963.636364,3100.842105,21,female,5,3,3,5,0,1,3,2,32,Office
96,20,8,5896.4125,4337.73,50,female,1,1,4,5,0,3,2,1,0,Home
97,7,16,2296.7625,3386.485714,32,female,3,3,3,4,0,1,0,3,22,Office
98,19,19,3878.894737,4203.631579,27,female,6,5,3,2,0,0,6,6,88,Office
99,19,19,5777.789474,8031.842105,18,male,6,6,4,6,3,4,3,1,0,Home
100,14,14,2929.428571,2925.857143,44,male,6,6,6,6,5,6,6,6,89,Office
101,19,10,9284.6,3440.947368,38,male,3,0,6,6,0,2,5,0,82,Home
102,17,19,1766.294737,1812.623529,38,female,6,6,6,6,3,5,5,0,78,Office
103,18,6,2902.55,3331.244444,38,female,5,3,6,4,5,5,4,4,71,Home
104,18,16,2146.925,1752.65,23,female,6,6,2,5,6,6,5,5,94,Office
105,20,18,2203.427778,3300.195,23,female,5,4,4,4,4,4,3,2,55,Unemployed
106,8,13,1625.384615,1329.875,21,female,5,5,4,5,2,3,5,4,89,Unemployed
107,16,16,4833.15,3885.24375,55,female,1,5,4,3,1,1,3,1,21,Unemployed
108,14,12,1826.158333,1945.128571,23,male,5,5,6,6,0,0,4,5,78,Office
109,17,16,5535.55625,4679.529412,46,male,3,1,4,5,2,2,5,3,78,Home
110,12,19,3187.657895,3875.466667,31,female,5,6,3,4,2,3,5,5,66,Office
111,14,16,3266.33125,5572.25,19,male,5,5,6,6,1,2,6,4,88,Unemployed
112,15,18,1596.5,2310.066667,20,female,5,4,4,4,1,2,5,5,89,Home
113,15,19,4038.157895,4531.6,43,female,4,4,6,5,1,2,5,3,83,Office
114,19,14,3607.778571,4543.052632,30,female,4,4,4,5,2,4,4,4,69,Office
115,10,14,1455,1892.2,28,male,5,3,4,5,1,4,4,2,36,Home
116,17,16,3705.025,3574.035294,27,female,5,5,2,1,0,3,2,4,22,Office
117,19,16,2026.125,2408.526316,19,female,6,6,5,6,2,4,5,1,78,Unemployed
118,15,14,2290.364286,3014.126667,34,male,6,6,6,5,0,1,5,6,88,Office
119,12,17,2446.929412,2345.108333,34,female,6,6,6,4,2,4,6,6,88,Office
120,14,9,3147.444444,2606.857143,23,female,5,5,1,1,1,4,1,0,27,Home
121,18,20,2812.365,2147.45,25,female,6,4,5,4,0,4,2,5,44,Unemployed
122,8,20,2103.37,4931.3375,23,female,5,6,3,2,0,0,3,1,57,Home
123,14,15,1758.06,1874.878571,22,female,4,4,2,2,5,4,2,1,28,Home
124,13,13,2631.338462,2826.3,29,male,3,4,4,4,4,4,4,2,54,Office
125,17,13,1452.753846,1270.047059,25,male,6,6,2,4,1,1,2,5,78,Office
126,16,15,2263.433333,2177.69375,32,female,4,6,5,5,2,3,5,4,78,Home
127,15,19,4187.947368,8817.933333,33,female,5,4,4,4,1,1,3,4,66,Home
128,12,11,4397.154545,3322.983333,21,male,5,4,5,5,4,4,4,3,83,Unemployed
129,13,14,2247.021429,1868.823077,21,male,2,1,5,5,5,5,4,0,75,Office
130,19,15,4974.42,4340.505263,44,male,5,5,4,6,2,2,5,5,77,Home
131,15,16,3411.9125,4572.706667,19,male,6,6,6,6,0,5,6,6,100,Unemployed
132,18,12,1960.25,1545.388889,25,male,5,4,4,4,2,2,4,2,28,Office
133,17,16,4541.76875,3053.341176,23,male,6,6,6,5,0,2,5,4,89,Unemployed
134,12,18,2697.711111,3375.658333,26,male,3,4,5,5,1,5,3,1,66,Home
135,14,17,2157.376471,2441.121429,34,male,5,6,6,5,1,0,6,6,96,Office
136,15,14,5570.1,5673.573333,28,male,5,4,2,4,3,3,4,1,57,Home
137,6,16,2807.175,2660.5,19,female,6,6,3,2,0,0,1,5,22,Unemployed
138,17,12,6154.891667,4276.282353,41,female,5,5,6,5,4,4,5,5,78,Office
139,9,11,2622.872727,1989.522222,18,male,5,5,5,4,0,1,5,1,77,Unemployed
140,15,15,6552.373333,5943.46,22,female,6,6,6,5,4,5,4,6,44,Unemployed
141,18,13,5204.215385,3048.755556,24,female,6,6,4,4,2,4,5,5,77,Unemployed
142,2,20,1902.245,6919.55,32,female,6,6,2,2,2,2,5,5,83,Office
143,19,15,11426.62,6269.868421,18,male,5,3,2,3,2,4,2,1,33,Unemployed
144,11,13,3727.584615,7621.181818,20,male,6,6,4,3,1,1,5,5,100,Unemployed
145,18,13,6364.823077,11519.16111,19,female,6,6,6,5,0,3,5,3,87,Unemployed
146,19,6,6307.533333,3937.157895,22,female,4,5,4,5,6,5,2,2,57,Office
147,20,14,3450.657143,6893.915,20,female,5,6,6,4,2,4,5,3,89,Unemployed
148,18,16,5289.5625,3505.222222,21,male,6,6,6,5,1,1,4,3,83,Unemployed
149,15,10,1770.08,2932,23,male,3,5,3,2,0,0,5,4,90,Office
150,14,12,4194.341667,3154.542857,21,male,3,1,6,4,3,2,1,5,33,Home
151,13,13,3470.630769,4018.7,29,female,4,6,6,6,3,4,6,6,100,Office
152,20,13,6973.530769,4946.71,28,female,6,6,6,6,1,1,6,6,79,Office
153,13,17,1879.523529,3360.223077,20,female,6,6,6,6,5,6,5,5,90,Unemployed
154,11,16,3609.86875,5094.954545,31,female,6,5,5,2,2,2,2,3,55,Home
155,19,15,4121.893333,3751.031579,40,male,5,5,4,4,5,5,1,2,22,Office
156,14,18,2506.594444,2524.457143,20,male,6,6,4,4,4,3,5,5,88,Unemployed
157,14,15,6967.72,5762.792857,22,female,5,1,6,5,3,4,3,4,76,Unemployed
158,14,18,3000.522222,3441.078571,21,female,6,6,6,6,1,1,5,2,93,Home
159,17,15,3885.586667,4503.923529,21,male,5,1,0,5,1,3,0,0,0,Unemployed
160,10,17,2983.235294,2746.1,22,male,5,4,2,1,0,1,1,4,33,Unemployed
161,14,12,1498.358333,1034.485714,19,female,4,3,4,4,4,5,2,4,58,Unemployed
162,16,17,5021.917647,6821.775,22,female,5,4,6,5,1,1,5,2,62,Unemployed
163,16,12,4368.908333,2846.675,30,female,4,0,1,1,2,4,1,1,22,Home
164,19,9,4107.444444,3512.315789,30,male,6,6,6,4,2,5,6,2,95,Office
165,19,9,7899.744444,3471.478947,26,female,6,4,5,4,5,6,6,5,92,Unemployed
166,18,14,12143.94286,7903.455556,27,female,5,6,6,6,5,5,6,6,100,Unemployed
167,16,9,1947.022222,1929.18125,46,male,5,3,3,5,0,0,5,3,88,Home
168,15,18,2605.983333,5081.593333,29,female,6,6,5,6,0,4,6,5,89,Office
169,12,14,1190.914286,1771.325,20,male,6,5,5,4,2,2,3,1,30,Home
170,17,14,4030.421429,5808.629412,33,male,5,1,1,5,4,4,1,1,8,Office
171,18,13,9773.184615,6070.366667,23,female,1,5,6,6,4,4,6,1,85,Home
172,14,18,2283.816667,2127.035714,43,male,3,1,5,5,1,1,2,1,34,Home
173,16,14,1906.921429,1498.425,21,female,4,2,2,5,0,1,4,4,55,Home
174,18,12,2224.891667,1635.411111,18,male,4,4,2,5,4,3,2,1,11,Office
175,15,16,7369.5375,3466.54,20,male,4,3,3,4,1,2,3,2,78,Office
176,13,14,4785.807143,4447.753846,25,male,6,6,6,6,0,1,3,6,63,Office
177,18,15,3302.406667,4119.527778,18,male,5,4,3,2,0,0,3,4,61,Unemployed
178,17,14,4266.928571,4072.352941,32,male,6,6,6,6,1,0,5,6,81,Office
