,no_mask,mask,no_mask_RT,mask_RT,gender,age, have a lot of experience in encountering people who wear masks,I spend a lot of time in public places where mask wearing is common,Mask wearing is strongly enforced in my country of residence,Most people follow mask mandates in my country,"I have difficulties recognizing familiar people (i.e., family members, colleagues, friends) when they are wearing masks","n people wear masks, I have difficulties in deciding whether they are familiar to me or not",Most people that I encounter everyday are wearing masks,"n my daily life, I need to recognize a lot of people who wear masks",maskExp,% of masked faces,maskeffect,maskeffectRatio,maskeffect_RT,maskeffectRatio_RT
47,62,53,5594.943548,6747.584906,24,0,0,0,5,1,2,4,1,0,1,0,9,0.07826087,1152.641357,0.093387782
48,69,58,3484.942029,5248.405172,23,1,6,6,4,3,2,4,5,6,23,88,11,0.086614173,1763.463143,0.20192294
49,68,54,3260.641176,7417.9,20,0,4,4,5,2,0,0,6,1,15,100,14,0.114754098,4157.258824,0.389309621
50,68,59,5207.961765,7227.832203,22,1,2,5,5,5,2,4,5,5,17,90,9,0.070866142,2019.870439,0.162423923
51,70,57,3833.185714,6971.55614,24,0,4,3,2,4,2,3,2,3,12,77,13,0.102362205,3138.370426,0.290462324
52,26,40,1612.692308,3811.525,48,0,5,6,5,5,1,2,5,5,21,89,-14,-0.212121212,2198.832692,0.405373267
53,23,32,2625.173913,2556.5,45,1,5,6,5,5,2,1,5,5,21,88,-9,-0.163636364,-68.67391304,-0.013253229
54,22,28,2581.727273,7076.821429,41,0,6,5,5,4,1,2,4,5,20,89,-6,-0.12,4495.094156,0.465400579
55,26,33,1189.5,2467.939394,50,0,5,5,4,5,2,1,5,5,20,88,-7,-0.118644068,1278.439394,0.349544929
56,25,24,3112.16,3074.5,45,0,5,4,5,4,1,2,4,5,18,94,1,0.020408163,-37.66,-0.006087291
57,43,30,3467.116279,4343.2,44,0,2,5,5,4,3,4,5,4,16,67,13,0.178082192,876.0837209,0.11217007
58,69,59,2951.563768,4058.545763,22,1,5,4,3,2,1,4,4,3,16,60,10,0.078125,1106.981995,0.157912225
59,56,57,3195.3625,3844.335088,24,1,4,2,6,4,2,2,6,6,18,82,-1,-0.008849558,648.9725877,0.092187566
60,57,42,2845.245614,2888.333333,22,0,3,1,5,2,0,2,3,1,8,67,15,0.151515152,43.0877193,0.007514978
61,62,61,6012.719355,11061.54262,28,0,4,2,4,5,1,4,6,1,13,93,1,0.008130081,5048.823268,0.295697892
62,38,33,13511.57895,3332.969697,47,0,5,5,6,5,6,5,5,6,21,82,5,0.070422535,-10178.60925,-0.60426726
63,60,44,4271.313333,3572.513636,20,1,0,3,6,6,2,1,6,4,13,77,16,0.153846154,-698.799697,-0.089089127
64,62,61,2703.733871,4746.501639,19,0,2,1,5,4,1,3,4,2,9,76,1,0.008130081,2042.767768,0.274188348
65,59,33,3165.984746,4123.748485,36,0,2,2,4,5,2,4,3,1,8,12,26,0.282608696,957.7637391,0.131385293
66,45,40,3618.266667,3714.4,21,1,6,5,5,4,2,3,5,4,20,95,5,0.058823529,96.13333333,0.013110283
67,72,59,2533.055556,2984.915254,35,1,5,5,5,5,2,2,5,3,18,78,13,0.099236641,451.8596987,0.081888744
68,46,41,3067.228261,2943.553659,18,1,4,2,0,1,0,4,1,4,11,56,5,0.057471264,-123.6746023,-0.02057546
69,61,47,3247.793443,5639.412766,18,1,6,6,6,6,1,6,6,3,21,90,14,0.12962963,2391.619323,0.269108116
70,49,37,2299.842857,4929.797297,26,0,6,3,6,5,5,4,5,5,19,88,12,0.139534884,2629.95444,0.363773906
71,49,47,4375.885714,3996.270213,23,1,0,2,6,3,0,6,6,5,13,89,2,0.020833333,-379.6155015,-0.045342622
72,55,37,10690.87818,8235.308108,24,0,5,5,6,6,3,3,6,5,21,89,18,0.195652174,-2455.570074,-0.129744579
73,52,41,2024.884615,2039.95122,27,1,6,5,1,1,2,1,3,4,18,33,11,0.11827957,15.06660413,0.003706571
74,63,52,2610.301587,2646.884615,35,1,5,5,1,4,2,4,3,2,15,31,11,0.095652174,36.58302808,0.006958671
75,60,45,2776.95,3123.777778,24,1,3,1,5,5,1,2,1,1,6,11,15,0.142857143,346.8277778,0.058777119
76,59,51,2769.610169,2765.588235,20,0,6,6,2,2,2,4,2,5,19,33,8,0.072727273,-4.021934197,-0.000726611
77,65,60,2153.472308,2946.181667,24,1,6,6,4,2,2,4,5,5,22,66,5,0.04,792.709359,0.155443754
